"BioCeramic",,,"Coralline",,,"MedPor",,
"Time","Force","Stroke","Time","Force","Stroke","Time","Force","Stroke"
"sec","N","mm","sec","N","mm","sec","N","mm"
,,,,,,"180.726","643.8096","3.011635"
,,,,,,"180.728","643.8096","3.011677"
,,,,,,"180.73","643.8414","3.011708"
,,,,,,"180.732","643.8414","3.011739"
,,,,,,"180.734","643.8414","3.011771"
,,,,,,"180.736","643.8414","3.011812"
,,,,,,"180.738","643.8414","3.011844"
,,,,,,"180.74","643.8414","3.011875"
,,,,,,"180.742","643.8573","3.011906"
,,,,,,"180.744","643.8891","3.011937"
,,,,,,"180.746","643.8891","3.011969"
,,,,,,"180.748","643.8891","3.01201"
,,,,,,"180.75","643.8891","3.012042"
,,,,,,"180.752","643.8891","3.012073"
,,,,,,"180.754","643.8891","3.012104"
,,,,,,"180.756","643.9209","3.012135"
,,,,,,"180.758","643.9209","3.012177"
,,,,,,"180.76","643.9209","3.012208"
,,,,,,"180.762","643.9209","3.012239"
,,,,,,"180.764","643.9209","3.012271"
,,,,,,"180.766","643.9209","3.012302"
,,,,,,"180.768","643.9209","3.012344"
,,,,,,"180.77","643.9686","3.012365"
,,,,,,"180.772","643.9686","3.012406"
,,,,,,"180.774","643.9686","3.012438"
,,,,,,"180.776","643.9686","3.012469"
,,,,,,"180.778","643.9686","3.0125"
,,,,,,"180.78","643.9686","3.012531"
,,,,,,"180.782","643.9686","3.012573"
,,,,,,"180.784","644.0004","3.012604"
,,,,,,"180.786","644.0004","3.012635"
,,,,,,"180.788","644.0004","3.012677"
,,,,,,"180.79","644.0004","3.012708"
,,,,,,"180.792","644.0004","3.01274"
,,,,,,"180.794","644.0004","3.012771"
,,,,,,"180.796","644.0004","3.012802"
,,,,,,"180.798","644.048","3.012844"
,,,,,,"180.8","644.048","3.012875"
,,,,,,"180.802","644.048","3.012906"
,,,,,,"180.804","644.048","3.012938"
,,,,,,"180.806","644.048","3.012969"
,,,,,,"180.808","644.048","3.013011"
,,,,,,"180.81","644.0798","3.013042"
,,,,,,"180.812","644.0798","3.013073"
,,,,,,"180.814","644.0798","3.013104"
,,,,,,"180.816","644.0798","3.013135"
,,,,,,"180.818","644.0798","3.013177"
,,,,,,"180.82","644.0798","3.013208"
,,,,,,"180.822","644.0957","3.01324"
,,,,,,"180.824","644.1276","3.013271"
,,,,,,"180.826","644.1276","3.013302"
,,,,,,"180.828","644.1276","3.013344"
,,,,,,"180.83","644.1276","3.013375"
,,,,,,"180.832","644.1276","3.013406"
,,,,,,"180.834","644.1276","3.013438"
,,,,,,"180.836","644.1593","3.013479"
,,,,,,"180.838","644.1593","3.01351"
,,,,,,"180.84","644.1593","3.013542"
,,,,,,"180.842","644.1593","3.013573"
,,,,,,"180.844","644.1593","3.013615"
,,,,,,"180.846","644.1593","3.013646"
,,,,,,"180.848","644.1593","3.013677"
,,,,,,"180.85","644.207","3.013708"
,,,,,,"180.852","644.207","3.01374"
,,,,,,"180.854","644.207","3.013781"
,,,,,,"180.856","644.207","3.013813"
,,,,,,"180.858","644.207","3.013844"
,,,,,,"180.86","644.207","3.013885"
,,,,,,"180.862","644.2229","3.013917"
,,,,,,"180.864","644.2388","3.013948"
,,,,,,"180.866","644.2388","3.013979"
,,,,,,"180.868","644.2388","3.01401"
,,,,,,"180.87","644.2388","3.014052"
,,,,,,"180.872","644.2388","3.014083"
,,,,,,"180.874","644.2388","3.014115"
,,,,,,"180.876","644.2864","3.014146"
,,,,,,"180.878","644.2864","3.014177"
,,,,,,"180.88","644.2864","3.014219"
,,,,,,"180.882","644.2864","3.01425"
,,,,,,"180.884","644.2864","3.014281"
,,,,,,"180.886","644.3024","3.014313"
,,,,,,"180.888","644.3183","3.014344"
,,,,,,"180.89","644.3183","3.014385"
,,,,,,"180.892","644.3183","3.014417"
,,,,,,"180.894","644.3183","3.014448"
,,,,,,"180.896","644.3183","3.014479"
,,,,,,"180.898","644.3183","3.01451"
,,,,,,"180.9","644.366","3.014552"
,,,,,,"180.902","644.366","3.014583"
,,,,,,"180.904","644.366","3.014615"
,,,,,,"180.906","644.366","3.014646"
,,,,,,"180.908","644.366","3.014688"
,,,,,,"180.91","644.366","3.014719"
,,,,,,"180.912","644.3977","3.01475"
,,,,,,"180.914","644.3977","3.014781"
,,,,,,"180.916","644.3977","3.014823"
,,,,,,"180.918","644.3977","3.014854"
,,,,,,"180.92","644.3977","3.014885"
,,,,,,"180.922","644.3977","3.014917"
,,,,,,"180.924","644.3977","3.014958"
,,,,,,"180.926","644.4454","3.01499"
,,,,,,"180.928","644.4454","3.015021"
,,,,,,"180.93","644.4454","3.015052"
,,,,,,"180.932","644.4454","3.015094"
,,,,,,"180.934","644.4454","3.015125"
,,,,,,"180.936","644.4454","3.015156"
,,,,,,"180.938","644.4772","3.015188"
,,,,,,"180.94","644.4772","3.015219"
,,,,,,"180.942","644.4772","3.01526"
,,,,,,"180.944","644.4772","3.015292"
,,,,,,"180.946","644.4772","3.015323"
,,,,,,"180.948","644.4772","3.015354"
,,,,,,"180.95","644.4931","3.015385"
,,,,,,"180.952","644.5249","3.015427"
,,,,,,"180.954","644.5249","3.015458"
,,,,,,"180.956","644.5249","3.01549"
,,,,,,"180.958","644.5249","3.015521"
,,,,,,"180.96","644.5249","3.015552"
,,,,,,"180.962","644.5249","3.015594"
,,,,,,"180.964","644.5567","3.015625"
,,,,,,"180.966","644.5567","3.015656"
,,,,,,"180.968","644.5567","3.015687"
,,,,,,"180.97","644.5567","3.015719"
,,,,,,"180.972","644.5567","3.01576"
,,,,,,"180.974","644.5726","3.015792"
,,,,,,"180.976","644.6044","3.015823"
,,,,,,"180.978","644.6044","3.015854"
,,,,,,"180.98","644.6044","3.015885"
,,,,,,"180.982","644.6044","3.015927"
,,,,,,"180.984","644.6044","3.015958"
,,,,,,"180.986","644.6044","3.01599"
,,,,,,"180.988","644.6362","3.016021"
,,,,,,"180.99","644.6362","3.016062"
,,,,,,"180.992","644.6362","3.016094"
,,,,,,"180.994","644.6362","3.016125"
,,,,,,"180.996","644.6362","3.016156"
,,,,,,"180.998","644.6362","3.016187"
,,,,,,"181","644.6838","3.016229"
,,,,,,"181.002","644.6838","3.01626"
,,,,,,"181.004","644.6838","3.016292"
,,,,,,"181.006","644.6838","3.016323"
,,,,,,"181.008","644.6838","3.016354"
,,,,,,"181.01","644.6838","3.016385"
,,,,,,"181.012","644.6838","3.016427"
,,,,,,"181.014","644.7156","3.016458"
,,,,,,"181.016","644.7156","3.01649"
,,,,,,"181.018","644.7156","3.016521"
,,,,,,"181.02","644.7156","3.016552"
,,,,,,"181.022","644.7156","3.016583"
,,,,,,"181.024","644.7156","3.016625"
,,,,,,"181.026","644.7633","3.016656"
,,,,,,"181.028","644.7633","3.016687"
,,,,,,"181.03","644.7633","3.016719"
,,,,,,"181.032","644.7633","3.01676"
,,,,,,"181.034","644.7633","3.016792"
,,,,,,"181.036","644.7633","3.016823"
,,,,,,"181.038","644.7633","3.016854"
,,,,,,"181.04","644.7951","3.016885"
,,,,,,"181.042","644.7951","3.016927"
,,,,,,"181.044","644.7951","3.016958"
,,,,,,"181.046","644.7951","3.016989"
,,,,,,"181.048","644.7951","3.017021"
,,,,,,"181.05","644.7951","3.017052"
,,,,,,"181.052","644.7951","3.017083"
,,,,,,"181.054","644.8428","3.017115"
,,,,,,"181.056","644.8428","3.017156"
,,,,,,"181.058","644.8428","3.017187"
,,,,,,"181.06","644.8428","3.017219"
,,,,,,"181.062","644.8428","3.01725"
,,,,,,"181.064","644.8428","3.017281"
,,,,,,"181.066","644.8746","3.017323"
,,,,,,"181.068","644.8746","3.017354"
,,,,,,"181.07","644.8746","3.017385"
,,,,,,"181.072","644.8746","3.017417"
,,,,,,"181.074","644.8746","3.017448"
,,,,,,"181.076","644.8746","3.017489"
,,,,,,"181.078","644.9222","3.017521"
,,,,,,"181.08","644.9222","3.017552"
,,,,,,"181.082","644.9222","3.017583"
,,,,,,"181.084","644.9222","3.017615"
,,,,,,"181.086","644.9222","3.017646"
,,,,,,"181.088","644.954","3.017688"
,,,,,,"181.09","644.954","3.017719"
,,,,,,"181.092","644.954","3.01775"
,,,,,,"181.094","644.954","3.017781"
,,,,,,"181.096","644.954","3.017812"
,,,,,,"181.098","644.954","3.017854"
,,,,,,"181.1","645.0017","3.017885"
,,,,,,"181.102","645.0017","3.017917"
,,,,,,"181.104","645.0017","3.017948"
,,,,,,"181.106","645.0017","3.017979"
,,,,,,"181.108","645.0017","3.01801"
,,,,,,"181.11","645.0017","3.018052"
,,,,,,"181.112","645.0335","3.018083"
,,,,,,"181.114","645.0335","3.018115"
,,,,,,"181.116","645.0335","3.018146"
,,,,,,"181.118","645.0335","3.018177"
,,,,,,"181.12","645.0335","3.018219"
,,,,,,"181.122","645.0335","3.01825"
,,,,,,"181.124","645.0335","3.018281"
,,,,,,"181.126","645.0812","3.018312"
,,,,,,"181.128","645.0812","3.018344"
,,,,,,"181.13","645.0812","3.018375"
,,,,,,"181.132","645.0812","3.018406"
,,,,,,"181.134","645.0812","3.018448"
,,,,,,"181.136","645.113","3.018479"
,,,,,,"181.138","645.113","3.01851"
,,,,,,"181.14","645.113","3.018542"
,,,,,,"181.142","645.113","3.018573"
,,,,,,"181.144","645.113","3.018615"
,,,,,,"181.146","645.113","3.018646"
,,,,,,"181.148","645.113","3.018677"
,,,,,,"181.15","645.1606","3.018708"
,,,,,,"181.152","645.1606","3.018739"
,,,,,,"181.154","645.1606","3.018781"
,,,,,,"181.156","645.1606","3.018812"
,,,,,,"181.158","645.1606","3.018844"
,,,,,,"181.16","645.1924","3.018875"
,,,,,,"181.162","645.1924","3.018906"
,,,,,,"181.164","645.1924","3.018948"
,,,,,,"181.166","645.1924","3.018979"
,,,,,,"181.168","645.1924","3.01901"
,,,,,,"181.17","645.1924","3.019042"
,,,,,,"181.172","645.2401","3.019073"
,,,,,,"181.174","645.2401","3.019104"
,,,,,,"181.176","645.2401","3.019146"
,,,,,,"181.178","645.2401","3.019177"
,,,,,,"181.18","645.2401","3.019208"
,,,,,,"181.182","645.256","3.01924"
,,,,,,"181.184","645.272","3.019281"
,,,,,,"181.186","645.272","3.019312"
,,,,,,"181.188","645.272","3.019344"
,,,,,,"181.19","645.272","3.019375"
,,,,,,"181.192","645.272","3.019406"
,,,,,,"181.194","645.3196","3.019438"
,,,,,,"181.196","645.3196","3.019479"
,,,,,,"181.198","645.3196","3.01951"
,,,,,,"181.2","645.3196","3.019542"
,,,,,,"181.202","645.3196","3.019573"
,,,,,,"181.204","645.3196","3.019614"
,,,,,,"181.206","645.3355","3.019646"
